name,section name,1-sentence granular constraint,1-sentence kali test
Data Mapping,Accountability,"Identify and document all systems and flows where personal data is stored, processed, or transmitted.","Use controlled scanning (`nmap`, `whatweb`, `ffuf`) to inventory exposed endpoints and cross-reference with documented data flows."
Lawful Processing,Legal Basis,"Ensure every personal data processing activity has a valid legal basis (e.g., consent, contract, legitimate interest).","Inspect API payloads and web forms to confirm consent prompts or legal basis indicators are presented before data collection."
Consent Management,Data Subject Rights,"Verify consent is explicit, recorded, and can be withdrawn as easily as given.","Test forms and endpoints to submit and revoke consent, verifying withdrawal removes or disables data usage via API replay or UI."
Data Minimization,Privacy by Design,"Confirm personal data collected is limited to what is necessary for the stated purpose.","Inspect request/response payloads and database schemas for unnecessary identifiers or extra fields beyond business need."
Purpose Limitation,Privacy by Design,"Ensure personal data is not reused or repurposed beyond the original collection purpose.","Monitor internal API calls and data exports to confirm personal data is not shared with unrelated systems."
Data Accuracy,Data Quality,"Verify that stored personal data is kept accurate and up to date, with correction mechanisms available.","Submit a correction request (API/UI) and confirm the update propagates to all relevant records without duplicates or inconsistencies."
Storage Limitation,Data Retention,"Confirm personal data is retained only for as long as necessary for the stated purpose.","Query databases or backup sets for records older than retention policy and verify scheduled deletion or anonymization routines."
Integrity & Confidentiality,Security of Processing,"Ensure data is protected against unauthorized or unlawful processing, loss, or destruction.","Run controlled `nmap`/`nikto` scans to detect exposed services, test HTTPS/TLS enforcement, and check backup protection."
Encryption in Transit,Security of Processing,"Confirm all personal data transfers are encrypted using strong protocols and configurations.","Run `testssl.sh` or `sslyze` against HTTPS endpoints and intercept traffic with Burp to ensure no plaintext leakage."
Encryption at Rest,Security of Processing,"Ensure personal data at rest (databases, files, backups) is encrypted using approved algorithms.","Inspect database/storage configs for encryption flags and verify ciphertext in raw disk or dump inspection."
Access Controls,Security of Processing,"Verify that personal data access is restricted to authorized users with least privilege.","Test privilege escalation paths (Burp Repeater) and inspect role-based access in APIs or admin portals."
Authentication Strength,Security of Processing,"Ensure strong authentication, password policies, and MFA for systems handling personal data.","Run controlled brute-force tests (Hydra) and verify lockout thresholds and MFA enforcement."
Breach Detection & Response,Incident Response,"Implement mechanisms to detect and respond to personal data breaches within 72 hours per GDPR.","Simulate an audit event (e.g., failed logins) and check for alert generation and incident ticket creation."
Data Breach Notification,Incident Response,"Ensure processes exist to notify supervisory authorities and affected individuals of personal data breaches.","Perform a tabletop simulation and verify escalation and contact paths for regulatory notification are documented."
Data Subject Access,Data Subject Rights,"Verify users can request access to their personal data in a portable, readable format.","Submit a DSAR (Data Subject Access Request) via API/UI and confirm retrieval includes all relevant personal data fields."
Right to Rectification,Data Subject Rights,"Ensure users can correct inaccurate personal data and changes propagate across systems.","Edit personal info through the UI and inspect backend APIs to confirm updated data reflects consistently across systems."
Right to Erasure (‘Right to be Forgotten’),Data Subject Rights,"Confirm users can request deletion of their personal data and that it is removed from live and backup systems.","Submit a deletion request and verify that identifiers are purged or anonymized from databases, logs, and caches."
Right to Restrict Processing,Data Subject Rights,"Ensure users can restrict processing of their data under certain conditions.","Submit a restriction request and confirm APIs prevent non-consensual updates or transfers during restriction."
Right to Data Portability,Data Subject Rights,"Verify users can obtain their personal data in a structured, machine-readable format.","Request data export via UI/API and validate returned format (e.g., JSON, CSV) contains complete personal data without third-party fields."
Right to Object,Data Subject Rights,"Ensure users can object to processing, particularly for direct marketing or profiling.","Trigger an objection via the user interface and confirm related processing stops (marketing or analytics requests disabled)."
Profiling Transparency,Automated Decision-Making,"Ensure users are informed about profiling or automated decision-making processes affecting them.","Inspect privacy policy endpoints and forms to confirm disclosure of logic and test whether user consent gates such processing."
Third-Party Data Sharing,Accountability,"Confirm data sharing agreements and safeguards exist for all third parties receiving personal data.","Enumerate outbound connections and APIs to identify data exports and verify DPA documentation for each recipient."
International Transfers,Data Transfers,"Ensure transfers outside the EEA comply with adequacy decisions or SCCs.","Trace outbound IPs or S3 buckets to confirm data residency and review policies or configs ensuring compliant regions."
Vendor Risk Management,Accountability,"Assess data processors for compliance and security controls aligning with GDPR obligations.","Perform WHOIS/DNS lookups of vendors and verify DPA or SOC2 evidence for those processing user data."
Anonymization & Pseudonymization,Privacy by Design,"Ensure pseudonymization/anonymization techniques prevent re-identification of individuals.","Inspect anonymized datasets and attempt correlation with auxiliary fields to verify identities cannot be inferred."
Logging & Audit Trails,Accountability,"Ensure actions on personal data (view, modify, delete) are logged with traceability and integrity.","Trigger CRUD actions on personal data and check audit logs for correct user IDs, timestamps, and non-tampered entries."
Data Protection Impact Assessment (DPIA),Accountability,"Conduct DPIAs for high-risk processing activities to identify and mitigate risks to individuals.","Review DPIA documents and correlate with system scan outputs or APIs that handle sensitive identifiers."
Privacy by Design & Default,Privacy by Design,"Verify systems implement default privacy settings minimizing data exposure and requiring user opt-in.","Inspect app defaults and HTTP responses to confirm tracking, analytics, or PII collection is disabled by default."
Data Transfer Encryption,Security of Processing,"Ensure encryption protects data during transfer between internal systems and third parties.","Run MITM proxy with Burp in lab to confirm all API calls use HTTPS and reject invalid certificates."
Retention Policy Enforcement,Data Retention,"Confirm automatic purging of data past retention limits and verify backups follow same schedule.","Query historical logs/backups to ensure records older than the allowed retention are deleted or anonymized."
